统计时间,地区,省内地区,现有确诊人数,累计确诊人数,累计死亡人数,累计治愈人数
2022/05/06,甘肃,境外输入,0,184,0,184
2022/05/06,甘肃,金昌,0,1,0,1
2022/05/06,甘肃,临夏,0,3,0,3
2022/05/06,甘肃,甘南州,0,8,0,8
2022/05/06,甘肃,平凉,0,9,0,9
2022/05/06,甘肃,庆阳,0,3,0,3
2022/05/06,甘肃,定西,0,9,0,9
2022/05/06,甘肃,嘉峪关,0,5,0,5
2022/05/06,甘肃,张掖,0,17,0,17
2022/05/06,甘肃,酒泉,0,1,0,1
2022/05/06,甘肃,陇南,0,7,0,7
2022/05/06,甘肃,白银,0,23,0,23
2022/05/06,甘肃,兰州,0,355,2,353
2022/05/06,甘肃,天水,0,55,0,55
2022/05/06,甘肃,武威,0,0,0,0
2022/05/06,宁夏,地区待确认,0,0,0,0
2022/05/06,宁夏,境外输入,0,4,0,4
2022/05/06,宁夏,中卫,0,4,0,4
2022/05/06,宁夏,石嘴山,0,1,0,1
2022/05/06,宁夏,固原,0,5,0,5
2022/05/06,宁夏,吴忠,0,39,0,39
2022/05/06,宁夏,银川,0,68,0,68
2022/05/06,宁夏,宁东管委会,0,1,0,1
2022/05/06,澳门,地区待确认,0,82,0,82
